z_m,potential_v,electric_field_v_m,charge_c_m3
  1.1587705123E+00,  1.0445175057E+00,  3.9515268306E-01, -1.2672584521E-12
  1.1653507178E+00,  1.0419204158E+00,  3.9421212482E-01, -1.2639347255E-12
  1.1719384199E+00,  1.0393265586E+00,  3.9327296517E-01, -1.2606184738E-12
  1.1785336310E+00,  1.0367359341E+00,  3.9233520241E-01, -1.2573096780E-12
  1.1851363636E+00,  1.0341485424E+00,  3.9139883483E-01, -1.2540083194E-12
  1.1917466302E+00,  1.0315643834E+00,  3.9046386075E-01, -1.2507143791E-12
  1.1983644432E+00,  1.0289834571E+00,  3.8953027848E-01, -1.2474278385E-12
  1.2049898152E+00,  1.0264057635E+00,  3.8859808631E-01, -1.2441486790E-12
  1.2116227589E+00,  1.0238313027E+00,  3.8766728258E-01, -1.2408768819E-12
  1.2182632869E+00,  1.0212600745E+00,  3.8673786559E-01, -1.2376124287E-12
  1.2249114118E+00,  1.0186920791E+00,  3.8580983368E-01, -1.2343553009E-12
  1.2315671463E+00,  1.0161273165E+00,  3.8488318516E-01, -1.2311054801E-12
  1.2382305032E+00,  1.0135657865E+00,  3.8395791837E-01, -1.2278629479E-12
  1.2449014953E+00,  1.0110074893E+00,  3.8303403163E-01, -1.2246276859E-12
  1.2515801354E+00,  1.0084524248E+00,  3.8211152330E-01, -1.2213996760E-12
  1.2582664364E+00,  1.0059005930E+00,  3.8119039171E-01, -1.2181788998E-12
  1.2649604111E+00,  1.0033519939E+00,  3.8027063520E-01, -1.2149653393E-12
  1.2716620726E+00,  1.0008066276E+00,  3.7935225212E-01, -1.2117589762E-12
  1.2783714338E+00,  9.9826449401E-01,  3.7843524082E-01, -1.2085597925E-12
  1.2850885077E+00,  9.9572559313E-01,  3.7751959966E-01, -1.2053677703E-12
  1.2918133075E+00,  9.9318992498E-01,  3.7660532700E-01, -1.2021828916E-12
  1.2985458461E+00,  9.9065748954E-01,  3.7569242119E-01, -1.1990051383E-12
  1.3052861368E+00,  9.8812828684E-01,  3.7478088061E-01, -1.1958344928E-12
  1.3120341927E+00,  9.8560231685E-01,  3.7387070363E-01, -1.1926709372E-12
  1.3187900271E+00,  9.8307957959E-01,  3.7296188861E-01, -1.1895144538E-12
  1.3255536532E+00,  9.8056007506E-01,  3.7205443393E-01, -1.1863650248E-12
  1.3323250843E+00,  9.7804380325E-01,  3.7114833798E-01, -1.1832226326E-12
  1.3391043339E+00,  9.7553076416E-01,  3.7024359913E-01, -1.1800872596E-12
  1.3458914152E+00,  9.7302095780E-01,  3.6934021578E-01, -1.1769588882E-12
  1.3526863418E+00,  9.7051438417E-01,  3.6843818631E-01, -1.1738375011E-12
  1.3594891270E+00,  9.6801104325E-01,  3.6753750912E-01, -1.1707230806E-12
  1.3662997845E+00,  9.6551093507E-01,  3.6663818261E-01, -1.1676156094E-12
  1.3731183278E+00,  9.6301405960E-01,  3.6574020517E-01, -1.1645150703E-12
  1.3799447704E+00,  9.6052041686E-01,  3.6484357521E-01, -1.1614214458E-12
  1.3867791261E+00,  9.5803000685E-01,  3.6394829114E-01, -1.1583347187E-12
  1.3936214085E+00,  9.5554282956E-01,  3.6305435137E-01, -1.1552548719E-12
  1.4004716313E+00,  9.5305888499E-01,  3.6216175432E-01, -1.1521818882E-12
  1.4073298083E+00,  9.5057817315E-01,  3.6127049840E-01, -1.1491157505E-12
  1.4141959534E+00,  9.4810069403E-01,  3.6038058204E-01, -1.1460564418E-12
  1.4210700804E+00,  9.4562644764E-01,  3.5949200366E-01, -1.1430039450E-12
  1.4279522032E+00,  9.4315543397E-01,  3.5860476169E-01, -1.1399582432E-12
  1.4348423358E+00,  9.4068765302E-01,  3.5771885456E-01, -1.1369193195E-12
  1.4417404921E+00,  9.3822310480E-01,  3.5683428070E-01, -1.1338871571E-12
  1.4486466863E+00,  9.3576178930E-01,  3.5595103857E-01, -1.1308617391E-12
  1.4555609323E+00,  9.3330370653E-01,  3.5506912659E-01, -1.1278430488E-12
  1.4624832443E+00,  9.3084885648E-01,  3.5418854322E-01, -1.1248310696E-12
  1.4694136365E+00,  9.2839723916E-01,  3.5330928690E-01, -1.1218257846E-12
  1.4763521231E+00,  9.2594885456E-01,  3.5243135609E-01, -1.1188271774E-12
  1.4832987183E+00,  9.2350370269E-01,  3.5155474924E-01, -1.1158352314E-12
  1.4902534366E+00,  9.2106178354E-01,  3.5067946481E-01, -1.1128499300E-12
  1.4972162921E+00,  9.1862309711E-01,  3.4980550127E-01, -1.1098712568E-12
  1.5041872994E+00,  9.1618764341E-01,  3.4893285708E-01, -1.1068991954E-12
  1.5111664729E+00,  9.1375542243E-01,  3.4806153071E-01, -1.1039337293E-12
  1.5181538271E+00,  9.1132643418E-01,  3.4719152064E-01, -1.1009748423E-12
  1.5251493765E+00,  9.0890067865E-01,  3.4632282533E-01, -1.0980225181E-12
  1.5321531357E+00,  9.0647815585E-01,  3.4545544328E-01, -1.0950767405E-12
  1.5391651193E+00,  9.0405886577E-01,  3.4458937296E-01, -1.0921374932E-12
  1.5461853420E+00,  9.0164280841E-01,  3.4372461286E-01, -1.0892047601E-12
  1.5532138187E+00,  8.9922998378E-01,  3.4286116147E-01, -1.0862785252E-12
  1.5602505639E+00,  8.9682039188E-01,  3.4199901728E-01, -1.0833587724E-12
  1.5672955926E+00,  8.9441403269E-01,  3.4113817879E-01, -1.0804454856E-12
  1.5743489197E+00,  8.9201090624E-01,  3.4027864450E-01, -1.0775386490E-12
  1.5814105600E+00,  8.8961101250E-01,  3.3942041291E-01, -1.0746382466E-12
  1.5884805286E+00,  8.8721435149E-01,  3.3856348253E-01, -1.0717442626E-12
  1.5955588404E+00,  8.8482092321E-01,  3.3770785186E-01, -1.0688566811E-12
  1.6026455105E+00,  8.8243072765E-01,  3.3685351943E-01, -1.0659754864E-12
  1.6097405541E+00,  8.8004376481E-01,  3.3600048375E-01, -1.0631006627E-12
  1.6168439863E+00,  8.7766003470E-01,  3.3514874333E-01, -1.0602321944E-12
  1.6239558223E+00,  8.7527953731E-01,  3.3429829670E-01, -1.0573700658E-12
  1.6310760774E+00,  8.7290227265E-01,  3.3344914239E-01, -1.0545142613E-12
  1.6382047670E+00,  8.7052824071E-01,  3.3260127893E-01, -1.0516647654E-12
  1.6453419063E+00,  8.6815744149E-01,  3.3175470484E-01, -1.0488215625E-12
  1.6524875109E+00,  8.6578987500E-01,  3.3090941867E-01, -1.0459846373E-12
  1.6596415961E+00,  8.6342554124E-01,  3.3006541895E-01, -1.0431539743E-12
  1.6668041776E+00,  8.6106444020E-01,  3.2922270422E-01, -1.0403295581E-12
  1.6739752708E+00,  8.5870657188E-01,  3.2838127304E-01, -1.0375113733E-12
  1.6811548915E+00,  8.5635193629E-01,  3.2754112395E-01, -1.0346994048E-12
  1.6883430553E+00,  8.5400053342E-01,  3.2670225550E-01, -1.0318936373E-12
  1.6955397778E+00,  8.5165236327E-01,  3.2586466625E-01, -1.0290940555E-12
  1.7027450750E+00,  8.4930742585E-01,  3.2502835476E-01, -1.0263006443E-12
  1.7099589626E+00,  8.4696572116E-01,  3.2419331959E-01, -1.0235133886E-12
  1.7171814566E+00,  8.4462724919E-01,  3.2335955930E-01, -1.0207322734E-12
  1.7244125728E+00,  8.4229200994E-01,  3.2252707247E-01, -1.0179572836E-12
  1.7316523273E+00,  8.3996000342E-01,  3.2169585766E-01, -1.0151884042E-12
  1.7389007361E+00,  8.3763122962E-01,  3.2086591345E-01, -1.0124256203E-12
  1.7461578154E+00,  8.3530568854E-01,  3.2003723842E-01, -1.0096689170E-12
