z_m,potential_v,electric_field_v_m,charge_c_m3
  7.9424369823E-01,  2.7752810271E+00,  1.1078145417E+00, -4.2948221566E-12
  8.0074970097E-01,  2.7680838344E+00,  1.1046652946E+00, -4.2769800234E-12
  8.0726668907E-01,  2.7608949875E+00,  1.1015238334E+00, -4.2592167833E-12
  8.1379467921E-01,  2.7537144863E+00,  1.0983901362E+00, -4.2415320434E-12
  8.2033368812E-01,  2.7465423309E+00,  1.0952641813E+00, -4.2239254129E-12
  8.2688373257E-01,  2.7393785214E+00,  1.0921459468E+00, -4.2063965032E-12
  8.3344482934E-01,  2.7322230576E+00,  1.0890354113E+00, -4.1889449279E-12
  8.4001699530E-01,  2.7250759395E+00,  1.0859325532E+00, -4.1715703027E-12
  8.4660024731E-01,  2.7179371673E+00,  1.0828373509E+00, -4.1542722453E-12
  8.5319460229E-01,  2.7108067408E+00,  1.0797497832E+00, -4.1370503758E-12
  8.5980007722E-01,  2.7036846602E+00,  1.0766698286E+00, -4.1199043162E-12
  8.6641668909E-01,  2.6965709253E+00,  1.0735974660E+00, -4.1028336904E-12
  8.7304445494E-01,  2.6894655361E+00,  1.0705326742E+00, -4.0858381248E-12
  8.7968339186E-01,  2.6823684928E+00,  1.0674754320E+00, -4.0689172476E-12
  8.8633351697E-01,  2.6752797952E+00,  1.0644257185E+00, -4.0520706889E-12
  8.9299484743E-01,  2.6681994435E+00,  1.0613835127E+00, -4.0352980811E-12
  8.9966740046E-01,  2.6611274375E+00,  1.0583487938E+00, -4.0185990586E-12
  9.0635119330E-01,  2.6540637773E+00,  1.0553215409E+00, -4.0019732577E-12
  9.1304624323E-01,  2.6470084628E+00,  1.0523017333E+00, -3.9854203167E-12
  9.1975256760E-01,  2.6399614942E+00,  1.0492893505E+00, -3.9689398760E-12
  9.2647018377E-01,  2.6329228713E+00,  1.0462843717E+00, -3.9525315778E-12
  9.3319910915E-01,  2.6258925942E+00,  1.0432867765E+00, -3.9361950663E-12
  9.3993936121E-01,  2.6188706629E+00,  1.0402965444E+00, -3.9199299879E-12
  9.4669095744E-01,  2.6118570774E+00,  1.0373136552E+00, -3.9037359906E-12
  9.5345391538E-01,  2.6048518376E+00,  1.0343380884E+00, -3.8876127245E-12
  9.6022825262E-01,  2.5978549436E+00,  1.0313698240E+00, -3.8715598417E-12
  9.6701398678E-01,  2.5908663955E+00,  1.0284088416E+00, -3.8555769959E-12
  9.7381113554E-01,  2.5838861931E+00,  1.0254551214E+00, -3.8396638430E-12
  9.8061971661E-01,  2.5769143364E+00,  1.0225086432E+00, -3.8238200406E-12
  9.8743974774E-01,  2.5699508256E+00,  1.0195693871E+00, -3.8080452483E-12
  9.9427124673E-01,  2.5629956605E+00,  1.0166373333E+00, -3.7923391275E-12
  1.0011142314E+00,  2.5560488412E+00,  1.0137124620E+00, -3.7767013414E-12
  1.0079687197E+00,  2.5491103677E+00,  1.0107947534E+00, -3.7611315551E-12
  1.0148347295E+00,  2.5421802400E+00,  1.0078841878E+00, -3.7456294356E-12
  1.0217122789E+00,  2.5352584581E+00,  1.0049807458E+00, -3.7301946514E-12
  1.0286013857E+00,  2.5283450219E+00,  1.0020844077E+00, -3.7148268733E-12
  1.0355020681E+00,  2.5214399315E+00,  9.9919515420E-01, -3.6995257734E-12
  1.0424143443E+00,  2.5145431869E+00,  9.9631296580E-01, -3.6842910259E-12
  1.0493382322E+00,  2.5076547881E+00,  9.9343782322E-01, -3.6691223067E-12
  1.0562737503E+00,  2.5007747351E+00,  9.9056970722E-01, -3.6540192935E-12
  1.0632209166E+00,  2.4939030278E+00,  9.8770859862E-01, -3.6389816656E-12
  1.0701797495E+00,  2.4870396663E+00,  9.8485447830E-01, -3.6240091041E-12
  1.0771502673E+00,  2.4801846507E+00,  9.8200732722E-01, -3.6091012920E-12
  1.0841324884E+00,  2.4733379807E+00,  9.7916712640E-01, -3.5942579138E-12
  1.0911264313E+00,  2.4664996566E+00,  9.7633385693E-01, -3.5794786558E-12
  1.0981321143E+00,  2.4596696783E+00,  9.7350749996E-01, -3.5647632061E-12
  1.1051495561E+00,  2.4528480457E+00,  9.7068803670E-01, -3.5501112544E-12
  1.1121787751E+00,  2.4460347589E+00,  9.6787544846E-01, -3.5355224920E-12
  1.1192197901E+00,  2.4392298179E+00,  9.6506971656E-01, -3.5209966119E-12
  1.1262726196E+00,  2.4324332227E+00,  9.6227082244E-01, -3.5065333089E-12
  1.1333372824E+00,  2.4256449732E+00,  9.5947874756E-01, -3.4921322794E-12
  1.1404137972E+00,  2.4188650695E+00,  9.5669347348E-01, -3.4777932213E-12
  1.1475021828E+00,  2.4120935116E+00,  9.5391498180E-01, -3.4635158344E-12
  1.1546024581E+00,  2.4053302995E+00,  9.5114325419E-01, -3.4492998198E-12
  1.1617146420E+00,  2.3985754332E+00,  9.4837827240E-01, -3.4351448804E-12
  1.1688387534E+00,  2.3918289127E+00,  9.4562001822E-01, -3.4210507208E-12
  1.1759748113E+00,  2.3850907379E+00,  9.4286847352E-01, -3.4070170470E-12
  1.1831228347E+00,  2.3783609089E+00,  9.4012362022E-01, -3.3930435667E-12
  1.1902828428E+00,  2.3716394257E+00,  9.3738544032E-01, -3.3791299890E-12
  1.1974548547E+00,  2.3649262883E+00,  9.3465391586E-01, -3.3652760249E-12
  1.2046388895E+00,  2.3582214967E+00,  9.3192902896E-01, -3.3514813866E-12
  1.2118349666E+00,  2.3515250508E+00,  9.2921076180E-01, -3.3377457881E-12
  1.2190431051E+00,  2.3448369507E+00,  9.2649909662E-01, -3.3240689448E-12
  1.2262633245E+00,  2.3381571964E+00,  9.2379401572E-01, -3.3104505738E-12
  1.2334956441E+00,  2.3314857879E+00,  9.2109550146E-01, -3.2968903935E-12
  1.2407400834E+00,  2.3248227252E+00,  9.1840353626E-01, -3.2833881239E-12
  1.2479966618E+00,  2.3181680082E+00,  9.1571810261E-01, -3.2699434866E-12
  1.2552653989E+00,  2.3115216370E+00,  9.1303918305E-01, -3.2565562045E-12
  1.2625463142E+00,  2.3048836116E+00,  9.1036676019E-01, -3.2432260022E-12
  1.2698394275E+00,  2.2982539320E+00,  9.0770081670E-01, -3.2299526057E-12
  1.2771447583E+00,  2.2916325982E+00,  9.0504133530E-01, -3.2167357424E-12
  1.2844623265E+00,  2.2850196101E+00,  9.0238829877E-01, -3.2035751412E-12
  1.2917921519E+00,  2.2784149679E+00,  8.9974168997E-01, -3.1904705325E-12
  1.2991342542E+00,  2.2718186714E+00,  8.9710149180E-01, -3.1774216481E-12
  1.3064886533E+00,  2.2652307207E+00,  8.9446768721E-01, -3.1644282212E-12
  1.3138553693E+00,  2.2586511157E+00,  8.9184025925E-01, -3.1514899865E-12
  1.3212344221E+00,  2.2520798566E+00,  8.8921919098E-01, -3.1386066801E-12
  1.3286258318E+00,  2.2455169432E+00,  8.8660446554E-01, -3.1257780394E-12
  1.3360296185E+00,  2.2389623756E+00,  8.8399606615E-01, -3.1130038035E-12
  1.3434458023E+00,  2.2324161538E+00,  8.8139397604E-01, -3.1002837125E-12
  1.3508744034E+00,  2.2258782778E+00,  8.7879817854E-01, -3.0876175082E-12
  1.3583154422E+00,  2.2193487476E+00,  8.7620865702E-01, -3.0750049336E-12
  1.3657689388E+00,  2.2128275631E+00,  8.7362539491E-01, -3.0624457331E-12
  1.3732349138E+00,  2.2063147244E+00,  8.7104837569E-01, -3.0499396526E-12
  1.3807133875E+00,  2.1998102315E+00,  8.6847758292E-01, -3.0374864392E-12
  1.3882043805E+00,  2.1933140844E+00,  8.6591300018E-01, -3.0250858413E-12
  1.3957079131E+00,  2.1868262831E+00,  8.6335461113E-01, -3.0127376089E-12
  1.4032240061E+00,  2.1803468275E+00,  8.6080239950E-01, -3.0004414930E-12
  1.4107526801E+00,  2.1738757177E+00,  8.5825634904E-01, -2.9881972462E-12
  1.4182939557E+00,  2.1674129537E+00,  8.5571644358E-01, -2.9760046222E-12
  1.4258478538E+00,  2.1609585355E+00,  8.5318266701E-01, -2.9638633762E-12
