z_m,potential_v,electric_field_v_m,charge_c_m3
  2.9751331549E+00, -3.3190083871E+00, -2.8284853445E-01,  1.6918195646E-13
  3.0016637167E+00, -3.3115109824E+00, -2.8234147174E-01,  1.6926667307E-13
  3.0282119426E+00, -3.3040220554E+00, -2.8183382580E-01,  1.6934581947E-13
  3.0547779505E+00, -3.2965416060E+00, -2.8132561060E-01,  1.6941948896E-13
  3.0813618579E+00, -3.2890696342E+00, -2.8081683990E-01,  1.6948777269E-13
  3.1079637817E+00, -3.2816061401E+00, -2.8030752722E-01,  1.6955075973E-13
  3.1345838382E+00, -3.2741511236E+00, -2.7979768586E-01,  1.6960853713E-13
  3.1612221434E+00, -3.2667045847E+00, -2.7928732890E-01,  1.6966119001E-13
  3.1878788127E+00, -3.2592665234E+00, -2.7877646920E-01,  1.6970880156E-13
  3.2145539608E+00, -3.2518369398E+00, -2.7826511941E-01,  1.6975145317E-13
  3.2412477021E+00, -3.2444158338E+00, -2.7775329199E-01,  1.6978922443E-13
  3.2679601507E+00, -3.2370032055E+00, -2.7724099919E-01,  1.6982219318E-13
  3.2946914201E+00, -3.2295990548E+00, -2.7672825306E-01,  1.6985043562E-13
  3.3214416232E+00, -3.2222033817E+00, -2.7621506547E-01,  1.6987402628E-13
  3.3482108727E+00, -3.2148161862E+00, -2.7570144811E-01,  1.6989303814E-13
  3.3749992809E+00, -3.2074374684E+00, -2.7518741246E-01,  1.6990754260E-13
  3.4018069596E+00, -3.2000672282E+00, -2.7467296986E-01,  1.6991760960E-13
  3.4286340203E+00, -3.1927054656E+00, -2.7415813146E-01,  1.6992330762E-13
  3.4554805741E+00, -3.1853521806E+00, -2.7364290822E-01,  1.6992470371E-13
  3.4823467317E+00, -3.1780073733E+00, -2.7312731097E-01,  1.6992186355E-13
  3.5092326035E+00, -3.1706710436E+00, -2.7261135035E-01,  1.6991485151E-13
  3.5361382994E+00, -3.1633431916E+00, -2.7209503686E-01,  1.6990373062E-13
  3.5630639294E+00, -3.1560238172E+00, -2.7157838082E-01,  1.6988856267E-13
  3.5900096027E+00, -3.1487129204E+00, -2.7106139243E-01,  1.6986940823E-13
  3.6169754284E+00, -3.1414105012E+00, -2.7054408173E-01,  1.6984632664E-13
  3.6439615154E+00, -3.1341165597E+00, -2.7002645859E-01,  1.6981937611E-13
  3.6709679722E+00, -3.1268310958E+00, -2.6950853276E-01,  1.6978861368E-13
  3.6979949069E+00, -3.1195541095E+00, -2.6899031386E-01,  1.6975409532E-13
  3.7250424277E+00, -3.1122856009E+00, -2.6847181136E-01,  1.6971587590E-13
  3.7521106422E+00, -3.1050255699E+00, -2.6795303458E-01,  1.6967400924E-13
  3.7791996579E+00, -3.0977740165E+00, -2.6743399274E-01,  1.6962854816E-13
  3.8063095820E+00, -3.0905309408E+00, -2.6691469491E-01,  1.6957954447E-13
  3.8334405215E+00, -3.0832963427E+00, -2.6639515005E-01,  1.6952704901E-13
